Index,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted
2002-04-05,0.445536,0.449821,0.430357,0.441786,278348000,0.37829
2002-04-08,0.431429,0.440714,0.424643,0.438571,261514400,0.375537
2002-04-09,0.439107,0.446429,0.42875,0.430357,191531200,0.368504
2002-04-10,0.432321,0.445536,0.42875,0.440357,224980000,0.377066
2002-04-11,0.446964,0.45,0.441964,0.443929,407254400,0.380125
2002-04-12,0.446607,0.449464,0.43875,0.4475,320241600,0.383183
2002-04-15,0.4475,0.449107,0.442857,0.446429,299370400,0.382266
2002-04-16,0.449107,0.464107,0.448571,0.459643,614577600,0.39358
2002-04-17,0.463036,0.467321,0.453214,0.46625,396250400,0.399238
2002-04-18,0.455357,0.455714,0.444286,0.45375,401710400,0.388534
2002-04-19,0.455179,0.455179,0.445179,0.446071,375407200,0.381959
2002-04-22,0.443571,0.445179,0.432679,0.438036,269427200,0.375079
2002-04-23,0.438214,0.4425,0.430179,0.433036,233469600,0.370798
2002-04-24,0.433929,0.4375,0.422857,0.424464,140448000,0.363458
2002-04-25,0.420714,0.434643,0.420536,0.430714,194202400,0.368809
2002-04-26,0.433571,0.435179,0.410714,0.410893,304981600,0.351837
2002-04-29,0.413571,0.429643,0.412321,0.427857,272288800,0.366363
2002-04-30,0.426607,0.435357,0.424107,0.433393,280963200,0.371103
2002-05-01,0.43375,0.43375,0.417143,0.428214,214704000,0.366669
2002-05-02,0.425179,0.434643,0.421429,0.423036,239344000,0.362235
2002-05-03,0.420893,0.428929,0.418393,0.419821,230781600,0.359482
2002-05-06,0.416964,0.419643,0.401071,0.404464,249664800,0.346332
2002-05-07,0.409643,0.409821,0.395357,0.40125,242748800,0.34358
2002-05-08,0.414286,0.437857,0.411429,0.435179,436682400,0.372632
2002-05-09,0.433036,0.434821,0.425,0.431964,224616000,0.36988
2002-05-10,0.43375,0.43375,0.410357,0.416429,235396000,0.356577
2002-05-13,0.42,0.430179,0.409643,0.4275,265608000,0.366057
2002-05-14,0.436607,0.458571,0.4325,0.457321,526506400,0.391592
2002-05-15,0.453036,0.463929,0.443571,0.451429,335826400,0.386547
